"Ref","Value","Footprint"
"C1","100nF","Capacitor_SMD:C_0402_1005Metric"
"C2","100nF","Capacitor_SMD:C_0402_1005Metric"
"C3","47uF","Capacitor_SMD:C_0805_2012Metric"
"C4","100uF","Capacitor_SMD:C_1210_3225Metric"
"C5","47uF","Capacitor_SMD:C_0805_2012Metric"
"C6","22uF","Capacitor_SMD:C_0805_2012Metric"
"C7","100uF","Capacitor_SMD:C_1210_3225Metric"
"C8","47uF","Capacitor_SMD:C_0805_2012Metric"
"C9","22uF","Capacitor_SMD:C_0805_2012Metric"
"C10","120pF","Capacitor_SMD:C_0402_1005Metric"
"D1","LED","LED_SMD:LED_0603_1608Metric"
"D2","LED","LED_SMD:LED_0603_1608Metric"
"D3","LED","LED_SMD:LED_0603_1608Metric"
"H1","Mounting Hole M2","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad"
"H2","Mounting Hole M2","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad"
"H3","Mounting Hole M2","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad"
"H4","Mounting Hole M2","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad"
"J1","VIN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"J2","Battery","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"J3","USB_OUT","Connector_USB:USB_A_Molex_67643_Horizontal"
"J4","USB_IN","Connector_USB:USB_Micro-B_Molex_47346-0001"
"J5","NTC","Resistor_SMD:R_0805_2012Metric"
"L1","2.2uH",".rpvM:Inductor-0603"
"R1","0R02","Resistor_SMD:R_1210_3225Metric"
"R2","20K","Resistor_SMD:R_0402_1005Metric"
"R3","120K","Resistor_SMD:R_0402_1005Metric"
"R4","100K","Resistor_SMD:R_0402_1005Metric"
"R5","10K","Resistor_SMD:R_0402_1005Metric"
"R6","10K","Resistor_SMD:R_0402_1005Metric"
"R7","4K7","Resistor_SMD:R_0402_1005Metric"
"R8","4K7","Resistor_SMD:R_0402_1005Metric"
"R9","4K7","Resistor_SMD:R_0402_1005Metric"
"R10","4K7","Resistor_SMD:R_0402_1005Metric"
"R11","75K","Resistor_SMD:R_0402_1005Metric"
"R12","15K","Resistor_SMD:R_0402_1005Metric"
"R13","68K","Resistor_SMD:R_0402_1005Metric"
"R14","22K","Resistor_SMD:R_0402_1005Metric"
"R15","33K","Resistor_SMD:R_0402_1005Metric"
"R16","10K","Resistor_SMD:R_0402_1005Metric"
"R17","0R","Resistor_SMD:R_0402_1005Metric"
"U1","MP2637","QFN-24_4x4mm-MP"
